,0,1,2,3,4,5
0,Company Name,Symbol,Entity,# of Shares,%,Value (In Crores)
1,APL Apollo Tubes Limited,APLAPOLLO,ASHISH KACHOLIA,549587,2.33,56.54
2,Ashiana Housing Limited,ASHIANA,Ashish Kacholia,1285344,1.26,18.13
3,AYM Syntex Limited,AYMSYNTEX,Ashish Kacholia,1404107,3.58,13.78
4,DFM Foods Limited,DFMFOODS,ASHISH KACHOLIA,116715,1.17,23.27
5,Genus Power Infrastructures Limited,GENUSPOWER,SUSHMITA ASHISH KACHOLIA,4566252,1.78,19.63
6,GHCL Limited,GHCL,Ashish Kacholia,1500000,1.5,43.18
7,Indo Count Industries Limited,ICIL,Ashish Kacholia,2495760,1.26,46.56
8,Lokesh Machines Limited,LOKESHMACH,ASHISH KACHOLIA,1800000,10.57,14.22
9,Majesco Limited,MAJESCO,ASHISH KACHOLIA,333340,1.43,12.76
10,MT Educare Limited,MTEDUCARE,Ashish Kacholia,1250003,3.14,16.53
11,Navin Fluorine International Limited,NAVINFLUOR,ASHISH KACHOLIA,165000,1.69,44.61
12,Parag Milk Foods Limited,PARAGMILK,ASHISH KACHOLIA,1579995,1.88,41.7
13,Pokarna Limited,POKARNA,ASHISH KACHOLIA,440636,7.11,52.44
14,Royal Orchid Hotels Limited,ROHLTD,ASHISH KACHOLIA,1073587,3.94,8.8
15,S. P. Apparels Limited,SPAL,Ashish Kacholia,925000,3.68,35.01
16,Shreyas Shipping & Logistics Limited,SHREYAS,Ashish Kacholia,574736,2.62,13.53
17,UFO Moviez India Limited,UFO,ASHISH KACHOLIA,508415,1.84,23.15
18,Vadilal Industries Limited,VADILALIND,ASHISH KACHOLIA,381183,5.3,22.7
19,Vishnu Chemicals Limited,VISHNU,Ashish Kacholia,533783,4.47,15.84
20,Vivimed Labs Limited,VIVIMEDLAB,ASHISH KACHOLIA,1373713,1.7,13.43
21,Zen Technologies Limited,ZENTEC,ASHISH KACHOLIA,2498098,3.24,18.6
