,0,1,2,3,4,5
0,Company Name,NSE Symbol OR BSE CODE,Entity Name,# of Shares,%,Value (in Rs. Crores)
1,ADF Foods Limited,ADFFOODS,DOLLY KHANNA,217981,1.02,3.8
2,Dai-Ichi Karkaria Limited,526821,DOLLY KHANNA,90347,1.21,4.96
3,Emkay Global Financial Services Limited,EMKAY,DOLLY KHANNA,377147,1.54,2.69
4,Heritage Foods Limited,HERITGFOOD,DOLLY KHANNA,240276,1.04,21.81
5,IFB Agro Industries Limited,IFBAGRO,DOLLY JHANNA,132712,1.46,6.07
6,Liberty Shoes Limited,LIBERTSHOE,Dolly Khanna,170714,1,2.82
7,Nandan Denim Limited,NDL,DOLLY KHANNA,656121,1.37,9.07
8,Nilkamal Limited,NILKAMAL,Dolly Khanna,272919,1.83,44.62
9,Nitin Spinners Limited,NITINSPIN,DOLLY KHANNA,604376,1.32,4.48
10,NOCIL Limited,NOCIL,DOLLY KHANNA,3386140,2.11,25.75
11,PPAP Automotive Limited,PPAP,Dolly Khanna,153362,1.1,3.01
12,R. S. Software (India) Limited,RSSOFTWARE,DOLLY KHANNA,296712,1.15,2.08
13,RSWM Limited,RSWM,Dolly Khanna,412790,1.78,19.07
14,Ruchira Papers Limited,RUCHIRA,Dolly Khanna,257001,1.15,3.09
15,Srikalahasthi Pipes Limited,SRIPIPES,DOLLY KHANNA,620792,1.56,19.61
16,Sterling Tools Limited,STERTOOLS,DOLLY KHANNA,110323,1.61,10.84
17,Thirumalai Chemicals Limited,TIRUMALCHM,DOLLY KHANNA,184750,1.8,16.09
