,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Grasim Industries Limited,GRASIM,EUROPACIFIC GROWTH FUND,201603,1727954,1.85,734.68
2,HDFC Bank Limited,HDFCBANK,Europacific Growth Fund,201603,98038464,4.77,11185.21
3,Housing Development Finance Corporation Limited,HDFC,EUROPACIFIC GROWTH FUND,201603,67066265,4.25,7819.93
4,ICICI Bank Limited,ICICIBANK,EUROPACIFIC GROWTH FUND,201603,1.3E+08,2.99,2945.67
5,Idea Cellular Limited,IDEA,Europacific Growth Fund,201603,78737011,2.19,894.06
6,Indiabulls Housing Finance Limited,IBULHSGFIN,EUROPACIFIC GROWTH FUND,201603,26207577,6.27,1876.72
7,Kotak Mahindra Bank Limited,KOTAKBANK,EUROPACIFIC GROWTH FUND,201603,90708514,4.94,6424.43
8,Mahindra & Mahindra Limited,M&M,EUROPACIFIC GROWTH FUND,201603,25190000,4.29,3306.82
9,Maruti Suzuki India Limited,MARUTI,EUROPACIFIC GROWTH FUND,201603,3500000,1.16,1346.19
10,Motherson Sumi Systems Limited,MOTHERSUMI,EUROPACIFIC GROWTH FUND,201603,20000000,1.51,526.7
11,Power Grid Corporation of India Limited,POWERGRID,EUROPACIFIC GROWTH FUND,201603,2.02E+08,3.86,2921.75
12,Reliance Communications Limited,RCOM,Europacific Growth Fund,201603,56198451,2.27,290.55
13,Reliance Industries Limited,RELIANCE,Europacific Growth Fund,201603,48470015,1.54,4741.09
14,Tech Mahindra Ltd,TECHM,Europacific Growth Fund,201603,61831716,6.39,3035.94
