,0,1,2,3,4,5,6
0,Company Name,NSE Symbol OR BSE CODE,Entity Name,Date End,# of Shares,%,Value in Rs Crores
1,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,INTERNATIONAL FINANCE CORPORATION,201609,2965676,1.9,351.55
2,Equitas Holdings Limited,EQUITAS,INTERNATIONAL FINANCE CORPORATION,201609,22059885,6.55,393.99
3,Flexituff International Limited,FLEXITUFF,INTERNATIONAL FINANCE CORPORATION,201609,1902173,7.64,37.3
4,Healthcare Global Enterprises Limited,HCG,INTERNATIONAL FINANCE CORPORATION,201609,4358705,5.12,106.77
5,Hikal Limited,HIKAL,INTERNATIONAL FINANCE CORPORATION,201609,6800000,8.27,148.17
6,Jain Irrigation Systems Limited,JISLDVREQS,International Finance Corporation,201609,329445,1.71,2.03
7,Jain Irrigation Systems Limited,JISLJALEQS,International Finance Corporation,201609,13167025,2.87,141.55
8,JK Paper Limited,JKPAPER,INTERNATIONAL FINANCE CORPORATION,201609,7690000,5.18,70.06
9,Magma Fincorp Limited,MAGMA,INTERNATIONAL FINANCE CORPORATION,201609,23000000,9.71,268.18
10,Max Financial Services Limited,MFSL,INTERNATIONAL FINANCE CORPORATION,201609,8261049,3.09,464.93
11,Max India Limited,MAXINDIA,INTERNATIONAL FINANCE CORPORATION,201609,8261049,3.09,114.33
12,Max Ventures and Industries Limited,MAXVIL,INTERNATIONAL FINANCE CORPORATION,201609,1652209,3.09,8.86
13,Ramkrishna Forgings Limited,RKFORGE,INTERNATIONAL FINANCE CORPORATION,201609,1044215,3.64,34.95
14,RBL Bank Limited,RBLBANK,International Finance Corporation,201609,12717250,3.44,476.45
15,Religare Enterprises Limited,RELIGARE,International Finance Corporation,201609,12818331,7.19,343.02
16,Snowman Logistics Limited,SNOWMAN,International Finance Corporation,201609,11567500,6.92,74.15
17,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN,INTERNATIONAL FINANCE CORPORATION,201609,7141684,6.03,312.98
