,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,APL Apollo Tubes Limited,APLAPOLLO,KITARA PIIN 1001,201609,3000000,12.72,269.02
2,Compuage Infocom Limited,COMPINFO,Kitara India Micro Cap Growth Fund,201609,1100000,9.36,27.73
3,Innoventive Industries Ltd,533402,KITARA PIIN 1101,201609,1875330,3.14,0.75
4,KDDL Limited,KDDL,KITARA INDIA MICRO CAP GROWTH FUND,201609,374680,3.72,9.16
5,Mold-Tek Packaging Limited,MOLDTKPAC,KITARA INDIA MICRO CAP GROWTH FUND,201609,900000,3.25,20.69
6,Poddar Housing and Development Ltd,523628,Kitara India Micro Cap Growth Fund,201609,84446,1.34,8.44
7,Shemaroo Entertainment Limited,SHEMAROO,Kitara India Micro Cap Growth Fund,201609,313384,1.15,10.53
8,Supreme Infrastructure India Limited,SUPREMEINF,KITARA PIIN 1101,201609,1650000,6.42,14.42
9,Vivimed Labs Limited,VIVIMEDLAB,KITARA PIIN 1102,201609,9150685,11.29,95.26
