,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Alembic Limited,ALEMBICLTD,Lotus Global Investments Ltd,201603,11978103,4.49,42.7
2,Aurum Soft Systems Ltd,530885,Lotus Global Investments Ltd,201603,1098747,1.69,0.11
3,Automotive Stampings and Assemblies Limited,ASAL,LOTUS GLOBAL INVESTMENTS LTD.,201603,466277,2.94,1.78
4,DCW Limited,DCW,LOTUS GLOBAL INVESTMENTS LTD,201603,4558898,2.08,13.15
5,Dhanlaxmi Bank Limited,DHANBANK,LOTUS GLOBAL INVESTMENTS LTD,201603,2455034,1.38,4.41
6,India Steel Works Ltd,513361,Lotus Global Investments Ltd,201603,5934300,1.49,1.59
7,JSW Steel Limited,JSWSTEEL,LOTUS GLOBAL INVESTMENTS LTD,201603,4164965,1.72,571.41
8,Parabolic Drugs Limited,PARABDRUGS,LOTUS GLOBAL INVESTMENTS LIMITED,201603,999159,1.61,0.43
9,Ruchi Infrastructure Ltd,RUCHINFRA,Lotus Global Investments Ltd,201603,5749434,2.8,3.39
10,Sterling Biotech Limited,STERLINBIO,Lotus Global Investments Ltd-Adr/Gdr,201603,13948302,5.8,4.53
11,Ushdev International Ltd,511736,Lotus Global Investments Ltd,201603,941412,2.78,2.44
12,Weizmann Fincorp Ltd,511074,Lotus Global Investments Ltd,201603,8800,3.59,0.21
