,0,1,2,3,4,5,6
0,Company Name,NSE Symbol/BSE Code,Entity,# of Shares,%,Date End,Value (In Crores)
1,Ador Fontech Ltd,530431,MALABAR INDIA FUND LTD,842999,4.82,201509,8.35
2,Adi Finechem Ltd,ADI,MALABAR INDIA FUND LTD,538043,3.9,201509,12.81
3,Avanti Feeds Ltd,AVANTIFEED,MALABAR INDIA FUND LIMITED,250348,2.76,201509,9.59
4,Cera Sanitaryware Ltd,CERA,MALABAR INDIA FUND LIMITED,192401,1.48,201509,34.63
5,Gandhi Special Tubes Ltd,GANDHITUBE,MALABAR INDIA FUND LIMITED,311280,2.12,201509,7.63
6,Indian Terrain Fashions Ltd,INDTERRAIN,MALABAR INDIA FUND LTD,301855,4.2,201509,3.68
7,Kewal Kiran Clothing Ltd,KKCL,Malabar India Fund Limited,193211,1.57,201509,39.99
8,La Opala RG Ltd,LAOPALA,Malabar India Fund Ltd.,1223277,2.2,201509,67.65
9,Mayur Uniquoters Ltd,MAYURUNIQ,MALABAR INDIA FUND LTD,1721863,3.72,201509,73.01
10,Orient Refractorties Ltd,ORIENTREF,Malabar India Fund Limited,2136513,1.78,201509,16.88
11,Suprajit Engineering Ltd,SUPRAJIT,MALABAR INDIA FUND LIMITED,1850817,1.54,201509,23.88
12,Vaibhav Global Ltd,VAIBHAVGBL,MALABAR INDIA FUND LIMITED,473406,1.46,201509,20.83
