,0,1,2,3,4,5,6
0,Company,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Atul Limited,ATUL,Saif Advisors Mauritius Limited A/C Saif India Iv Fii Holdings Limited,201606,806493,2.72,175.72
2,Blue Star Limited,BLUESTARCO,Saif Advisors Mauritius Limited A/C Saif India Iv Fii Holdings Limited,201606,4731983,4.96,237.62
3,eClerx Services Limited,ECLERX,SAIF ADVISORS MAURITIUS LIMITED A/C SAIF INDIA IVFII HOLDINGS LIMITED,201606,588766,1.44,92.52
4,Edelweiss Financial Services Limited,EDELWEISS,Saif Advisors Mauritius Limited A/C Saif India IV FII Holdings Limited,201606,25633505,3.11,289.02
5,Fiem Industries Limited,FIEMIND,Saif India V FII Holdings Ltd.,201606,292617,2.45,29.88
6,IPCA Laboratories Limited,IPCALAB,Saif Advisors Mauritius Limited,201606,2010533,1.59,107.95
7,Just Dial Limited,JUSTDIAL,SAIF II MAURITIUS COMPANY LIMITED,201606,5967508,8.59,288.11
8,Karur Vysya Bank Limited,KARURVYSYA,SAIF ADVISORS MAURITIUS LIMITED A/C SAIF INDIA IV,201606,2850309,2.34,136.74
9,KDDL Limited,KDDL,SAIF INDIA FII HOLDINGS LTD,201606,1008400,10,22.07
10,Manpasand Beverages Limited,MANPASAND,SAIF PARTNERS INDIA IV LIMITED,201606,11186000,22.35,812.61
11,Pennar Industries Limited,PENIND,SAIF ADVISORY MAURITIUS LIMITED A/C SAIF INDIA IVFI HOLDING LIMITED,201606,12138080,10.09,52.5
12,Persistent Systems Limited,PERSISTENT,Saif Advisors Mauritius Limited A/C Saif India Iv Fii Holdings Limited,201606,4266296,5.33,266.75
13,Speciality Restaurants Limited,SPECIALITY,SAIF Advisors Mauritius Limited A/C SAIF India IV FII Holdings Limited,201606,3877964,8.26,34.63
14,Speciality Restaurants Limited,SPECIALITY,SAIF III Mauritius Company Limited,201606,4992140,10.63,44.58
