,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Future Retail Limited,FRLDVR,Vallabh Roopchand Bhanshali,201603,681907,1.73,8.81
2,Genus Power Infrastructures Limited,GENUSPOWER,VALLABH ROOPCHAND BHANSHALI,201603,2985700,1.16,16.82
3,Greenlam Industries Limited,GREENLAM,VALLABH ROOPCHAND BHANSHALI,201603,319100,1.32,19.73
4,JBF Industries Limited,JBFIND,Vallabh Roopchand Bhanshali,201603,871400,1.06,19.45
5,KHAITAN ELECTRICALS LTD.,KHAITANELE,VALLABH BHANSHALI,201603,166600,1.45,0.62
6,Ramky Infrastructure Limited,RAMKY,VALLABH BHANSHALI,201603,609259,1.07,3.31
7,Saregama India Limited,SAREGAMA,Vallabh Roopchand Bhansali,201603,251000,1.44,7.87
8,Simplex Projects Limited,SIMPLEX,Vallabh Roopchand Bhanshali,201603,393300,3.12,1.16
9,Usha Martin Limited,USHAMART,VALLABH ROOPCHAND BHANSHALI,201603,3206400,1.1,4.67
10,Vascon Engineers Limited,VASCONEQ,VALLABH ROOPCHAND BHANSHALI,201603,1765000,1.09,5.04
11,Zodiac Clothing Company Limited,ZODIACLOTH,VALLABH ROOPCHAND BHANSHALI,201603,663300,3.4,14.6
