,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Amrutanjan Health Care Limited,AMRUTANJAN,VIJAY KISHNANLAL KEDIA,201603,156853,1.07,6.41
2,Amrutanjan Health Care Limited,AMRUTANJAN,KEDIA SECURITIES PRIVATE LIMITED,201603,288478,1.97,11.79
3,Apcotex Industries Limited,APCOTEXIND,Vijay Kishanlal Kedia,201603,231814,1.12,6.55
4,Aries Agro Limited,ARIES,VIJAY KISHANLAL KEDIA,201603,598091,4.6,7.38
5,Astec LifeSciences Limited,ASTEC,KEDIA SECURITIES PRIVATE LIMITED,201603,200000,1.03,4.62
6,Cera Sanitaryware Limited,CERA,VIJAY KEDIA,201603,250000,1.92,49.94
7,Cheviot Co Ltd,526817,Vijay Kishanlal Kedia,201603,50000,1.11,3.54
8,Lykis Ltd,530689,Vijay Kishanlal Kedia,201603,3234383,16.69,19.4
9,Lykis Ltd,530689,Kedia Securities Private Limited,201603,2479435,12.8,14.87
10,Panasonic Energy India Co Ltd,504093,Vijay Kishanlal Kedia,201603,93004,1.24,2.97
11,Repro India Limited,REPRO,Vijay Kishanlal Kedia,201603,673416,6.18,26.16
12,Sibar Software Services India Ltd,532302,Vijay Kedia,201603,203900,1.27,0.01
13,Speciality Restaurants Limited,SPECIALITY,Kedia Securities Private Limited,201603,500000,1.06,4.47
14,Steward & Lloyds India Ltd,504960,Vijay Kishanlal Kedia,201512,142014,4.73,0.31
15,Sudarshan Chemical Industries Limited,SUDARSCHEM,Vijay Kishanlal Kedia,201603,2642479,3.82,30.85
16,TCPL Packaging,523301,Vijay Kishanlal Kedia,201603,119961,1.38,6.59
